listing_id,listing_name,room_type,cluster_id,guests,bedrooms,baths,cleaning_fee,num_reviews_x,rating_overall,superhost,professional_management,ttm_avg_rate,ttm_occupancy
14809517,"POOL, ROOFTOP, SKYLINE VIEW in Downtown Charlotte",entire_home,0,4.0,1.0,1.0,75.0,881,4.87,1,0,237.0,0.285
23198966,Spacious Townhouse minutes from Carowinds,entire_home,1,6.0,3.0,2.5,130.0,98,4.97,1,0,228.0,0.542
20848299,Queen City Charmer,entire_home,0,3.0,1.0,1.0,75.0,998,4.81,1,0,110.2,0.603
32268080,The BlueDoor B&B - Uptown Gem; Walk to Everything!,entire_home,0,3.0,1.0,1.0,35.0,686,4.94,1,0,117.3,0.46
21420273,Dilworth/Sedgefield Cottage,entire_home,0,6.0,3.0,1.5,150.0,207,4.94,1,0,187.6,0.51
17685125,Private carriage house in the heart of Charlotte,entire_home,0,2.0,1.0,1.0,15.0,649,4.96,1,0,117.0,0.668
3493118,Secluded Southpark Beach Shangri-La,entire_home,0,3.0,1.0,1.0,150.0,57,5.0,1,0,198.9,0.868
21827500,Myers Park Gem Great location,entire_home,0,4.0,1.0,1.0,100.0,86,4.92,1,1,194.4,0.077
31990562,Cozy Home Near NODA,entire_home,0,5.0,2.0,1.0,75.0,328,4.69,1,0,122.8,0.652
31961752,"SouthEnd Home, Uptown Views & Walkability",entire_home,1,7.0,3.0,2.0,100.0,209,4.93,1,0,324.9,0.132
30148592,Central Location in South End with Fitness Center,entire_home,0,2.0,1.0,1.0,105.0,369,4.7,0,0,163.4,0.704
28540567,"One bedroom condo near Ballantyne, South Charlotte",entire_home,0,4.0,1.0,1.0,100.0,124,4.88,1,0,123.6,0.682
1369509,Plaza Midwood private room and bath,entire_home,0,2.0,1.0,1.0,0.0,322,4.88,1,0,93.0,0.712
4106050,The Laughing Frog | Charming Bungalow in Dilworth,entire_home,0,3.0,2.0,1.0,150.0,48,4.98,1,0,209.3,0.436
26632642,"Urban Retreat-uptown modern studio, parking, pool",entire_home,0,2.0,1.0,1.0,70.0,52,4.88,1,0,127.1,0.219
32220513,Beautiful 4bd 2bath House w/pool close to CLT,entire_home,1,13.0,4.0,2.0,250.0,56,4.8,0,0,498.3,0.241
14798691,The Pearl of Lake Wylie,entire_home,1,5.0,2.0,2.0,175.0,30,4.8,0,0,215.8,0.605
25867598,Uptown 1st Ward | Private Balcony | Gym & Pool,entire_home,0,4.0,1.0,1.0,60.0,463,4.83,1,0,154.9,0.268
19943518,Sedgefield living,entire_home,0,6.0,3.0,1.5,105.0,175,4.85,1,0,170.3,0.586
10974319,Your own condo in uptown Charlotte,entire_home,0,2.0,1.0,1.0,45.0,1337,4.9,1,0,137.2,0.756
19471307,The Henry,entire_home,0,2.0,1.0,1.0,75.0,237,5.0,1,0,122.7,0.493
31853317,Walk to Spectrum Arena! Uptown Home + Rooftop Bar!,entire_home,1,4.0,2.0,2.0,75.0,20,4.85,0,0,286.1,0.142
27573282,Boho by the Water! 1750sqft - Fishing & sleeps 11!,entire_home,1,11.0,2.0,3.0,120.0,96,4.96,1,0,262.2,0.282
23906969,"Close Yet Private: Epic Location, Pool & Hot Tub!",entire_home,1,6.0,3.0,2.0,140.0,173,4.84,1,0,444.3,0.351
32443244,Charming Bird's Nest,entire_home,0,4.0,2.0,1.0,115.0,145,4.89,1,0,138.5,0.496
20725329,Charming King Condo on the Trolley,entire_home,0,4.0,1.0,1.0,112.0,54,4.74,1,1,167.3,0.433
4109173,Prime Charlotte Location 3BR Townhouse Near Uptown,entire_home,1,6.0,3.0,2.5,140.0,75,4.89,0,0,209.0,0.101
20725301,Retro 1BR in Elizabeth with Porch & Eclectic Desig,entire_home,0,4.0,1.0,1.0,100.0,29,4.66,1,1,164.6,0.189
16750562,Modern Guest Suite 1 Mi to Uptown | Private Garage,entire_home,0,2.0,1.0,1.0,105.0,266,4.82,1,0,142.1,0.416
10831994,Comfy private bed and bath,private_room,0,1.0,1.0,0.0,10.0,416,4.9,1,0,56.5,0.422
