term,ttm_occupancy,ttm_avg_rate,ttm_revenue
bread_maker toaster,0.014037182582751535,-0.06386544350043301,-0.062368025506694756
breakfast,-0.10287647505109071,-0.04784509828884884,-0.07798163168119829
breakfast bed_linens,-0.04758829309533838,-0.005113058788590019,-0.026167091337735312
breakfast conditioner,-0.06778488465425646,-0.038756368753606725,-0.059082424659481936
breakfast free_street_parking,-0.021482706991973414,0.03398892320824576,0.03973297314063983
breakfast long_term_stays_allowed,-0.04788755768022902,0.0003006649378227931,-0.027701357709098904
bright,-0.048722423711590176,-0.08016412818028655,-0.09928978393080033
bright bedroom,-0.07007694510521485,0.06481358499573363,-0.007707466464762422
bright charlotte,-0.09009251266367381,-0.07695269449238777,-0.09045360064862633
bright industrial,-0.06968245064329946,0.015302584762708434,-0.004904285041864223
bright private,0.09047369994520066,-0.09475798835904,-0.07439142133752308
bungalow,0.09875046254132042,0.05789422393617871,0.12766184140981376
bungalow bathtub,-0.06694941053086677,-0.01250599318765975,-0.03433882124708622
bungalow bay,-0.06575038443259944,-0.0381255404094617,-0.058028832972115446
bungalow bed,-0.10056402421403529,-0.021957879553303517,-0.06385056266981523
bungalow bedroom,0.050284166596358405,0.4149962405818326,0.4879814297626774
bungalow close,0.0040914143834580394,-0.0030810454661995383,-0.003971892933949194
bungalow dilworth,-0.034359217042814395,0.01794769317061999,-0.010476189775384788
bungalow guesthouse,0.13365573372162204,-0.057559500970885545,0.0014783949961999674
bungalow hair_dryer,-0.003591725357606957,0.05763317469082429,0.05552831022018064
bungalow house,-0.03877496872430334,-0.03040024607295034,-0.038997725172953315
bungalow large,0.127922781067792,-0.03063517509287168,0.05645557344469706
bungalow mile,-0.09554357374851027,-0.001871167440857425,-0.04503091761674434
bungalow noda,0.16934825341472856,-0.0650464311486813,0.004835857628233276
bungalow plaza,0.06981855383801105,0.06453950663452185,0.11732631796565907
bungalow uptown,0.10823817903459307,-0.0593862237080143,-0.012090107402046099
bungalow wifi,-0.05459087126878904,0.005851916989589871,-0.024723510327219072
business,-0.01607669291137272,-0.018648853921577377,-0.022117553138945593
business loft,-0.01607669291137272,-0.018648853921577377,-0.022117553138945593
cable_tv,-0.04975161452872227,0.03517696975066551,-0.011163528583627864
cable_tv blender,-0.062268561724115976,0.027579834303994164,-0.029958105771844205
cable_tv hair_dryer,0.004569558893274725,0.03579337171137237,0.04660157647371895
cable_tv smoke_alarm,-0.0670293370082036,0.0012736750895143496,-0.037133656186192104
cable_tv wifi,-0.023217272893134643,0.01918696300434982,-0.014571097773520458
carbon_monoxide_alarm essentials,0.034267865408169035,-0.00386864123726938,-0.0005342957121137778
carbon_monoxide_alarm fire_extinguisher,0.15639720813798139,-0.009928891878797245,0.09153704507549106
carbon_monoxide_alarm first_aid_kit,-0.11779566943999589,0.03380251653674794,-0.0602531907664459
carbon_monoxide_alarm patio_or_balcony,-0.0722828040809849,0.06269515970986796,0.06757673713807084
